Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Topological domain	Transmembrane	Subcellular location [CC]	Helix	Turn	Beta strand	RefSeq	BioGRID	STRING	Intramembrane
A3DD66	reviewed	ENG1_ACET2	Glucan endo-1,3-beta-D-glucosidase (Endo-1,3-beta-glucanase) (EC 3.2.1.39) (CtLam81A) (Laminarinase)	Lam81A Cthe_0660	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	773				SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q47N06}.						203119.Cthe_0660;	
A4GNA8	reviewed	PSD3_ARATH	Phosphatidylserine decarboxylase proenzyme 3 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 3 beta chain; Phosphatidylserine decarboxylase 3 alpha chain]	PSD3 At4g25970 F20B18.80	Arabidopsis thaliana (Mouse-ear cress)	635	TISSUE SPECIFICITY: Expressed in roots, leaves, stems and flowers. {ECO:0000269|PubMed:17449644}.			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:17449644}; Lipid-anchor {ECO:0000305}.				NP_567736.3;		3702.AT4G25970.1;	
A5A7I8	reviewed	CDPK5_SOLTU	Calcium-dependent protein kinase 5 (CDPK 5) (StCDPK5) (EC 2.7.11.1)	CPK5 CDPK5	Solanum tuberosum (Potato)	535				SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:17400895}; Lipid-anchor {ECO:0000305|PubMed:17400895}.				NP_001274790.1;XP_006364343.1;XP_006364344.1;XP_006364345.1;XP_006364346.1;XP_006364347.1;			
A5JYX8	reviewed	NCLN_CAEEL	Nicalin (Inactive aminopeptidase nra-2) (Nicotinic receptor-associated protein 2)	nra-2 T05F1.1	Caenorhabditis elegans	563	TISSUE SPECIFICITY: Expressed in body wall, pharyngeal, and vulval muscles, excretory canal cell, head and motor neurons, and vulval epithelium. {ECO:0000269|PubMed:19609303}.	TOPO_DOM 30..522; /note="Lumenal"; /evidence="ECO:0000305"; TOPO_DOM 544..563; /note="Cytoplasmic"; /evidence="ECO:0000305"	TRANSMEM 523..543; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:19609303}; Single-pass type I membrane protein {ECO:0000255}. Note=During the assembly of acetylcholine receptor in muscles, colocalizes with L-AChR component unc-29 in the ER. {ECO:0000269|PubMed:19609303}.				NP_001122514.1 [A5JYX8-1];NP_492553.1 [A5JYX8-2];		6239.T05F1.1b;	
B1A8Z2	reviewed	CIB1_SHEEP	Calcium and integrin-binding protein 1 (Calmyrin)	CIB1	Ovis aries (Sheep)	191	TISSUE SPECIFICITY: Expressed strongly in testis. Expressed weakly in liver, kidney and spleen. {ECO:0000269|PubMed:18989754}.			SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q99828}; Lipid-anchor {ECO:0000250|UniProtKB:Q99828}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:Q99828}. Cell membrane {ECO:0000250|UniProtKB:Q99828}. Apical cell membrane {ECO:0000250|UniProtKB:Q99828}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q99828}. Cell projection, filopodium tip {ECO:0000250|UniProtKB:Q99828}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q99828}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q99828}. Cytoplasm {ECO:0000250|UniProtKB:Q99828}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q99828}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q99828}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q99828}. Nucleus {ECO:0000250|UniProtKB:Q99828}. Cell projection, neuron projection {ECO:0000250|UniProtKB:Q99828}. Perikaryon {ECO:0000250|UniProtKB:Q99828}. Note=Colocalized with PPP3R1 at the cell membrane of cardiomyocytes in the hypertrophic heart (By similarity). Colocalized with NBR1 to the perinuclear region. Colocalizes with TAS1R2 in apical regions of taste receptor cells. Colocalized with RAC3 in the perinuclear area and at the cell periphery. Colocalized with PAK1 within membrane ruffles during cell spreading upon readhesion to fibronectin. Redistributed to the cytoskeleton upon platelet aggregation. Translocates from the cytosol to the plasma membrane in a calcium-dependent manner. Colocalized with PLK3 at centrosomes in ductal breast carcinoma cells. {ECO:0000250}.				NP_001108237.1;		9940.ENSOARP00000013003;	
B7G620	reviewed	IDH1_PHATC	Isocitrate dehydrogenase [NAD(+)] 1, mitochondrial (PtIDH1) (EC 1.1.1.41)	IDH1 PHATRDRAFT_14762	Phaeodactylum tricornutum (strain CCAP 1055/1)	548				SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255, ECO:0000305|PubMed:32824636}.				XP_002182499.1;		556484.B7G620;	
D3ZHV2	reviewed	MACF1_RAT	Microtubule-actin cross-linking factor 1 (Actin cross-linking family 7)	Macf1 Acf7 Aclp7 Macf	Rattus norvegicus (Rat)	5430				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9UPN3}. Cytoplasm {ECO:0000250|UniProtKB:Q9UPN3}. Golgi apparatus {ECO:0000250|UniProtKB:Q9UPN3}. Cell membrane {ECO:0000250|UniProtKB:Q9UPN3}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q9UPN3}. Membrane {ECO:0000269|PubMed:16815997}. Note=The phosphorylated form is found in the cytoplasm while the non-phosphorylated form associates with the microtubules (By similarity). Localizes to the tips of microtubules. Associated with the minus-end of microtubules via interaction with CAMSAP3. APC controls its localization to the cell membrane which is critical for its function in microtubule stabilization (By similarity). {ECO:0000250|UniProtKB:Q9QXZ0, ECO:0000250|UniProtKB:Q9UPN3}.				XP_017448990.1;		10116.ENSRNOP00000041065;	
F1LQY6	reviewed	NECA2_RAT	N-terminal EF-hand calcium-binding protein 2 (EF-hand calcium-binding protein 2) (Neuronal calcium-binding protein 2)	Necab2 Efcbp2	Rattus norvegicus (Rat)	389	TISSUE SPECIFICITY: Expressed in the striatum; predominantly in the caudate putamen. Expressed in hippocampus; particularly strong in the CA1 area. Expressed in the spinal dorsal horn with especially strong expression in lamina IIi; found in excitory synaptic boutons (at protein level). {ECO:0000269|PubMed:17689978, ECO:0000269|PubMed:19694902, ECO:0000269|PubMed:26843217}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17689978}. Cell projection, dendrite {ECO:0000269|PubMed:17689978}. Cell projection, axon {ECO:0000269|PubMed:17689978}. Cell membrane {ECO:0000250|UniProtKB:Q7Z6G3}. Note=Colocalizes with ADORA2A and/or mGluR5/GRM5 at the plasma membrane (By similarity). Found in neuronal somata (PubMed:26843217). Detected in the cytoplasm of striatal neurons, at postsynaptic sites, filling dendritic shafts and spines, and at presynaptic sites, filling axon terminals (PubMed:17689978). {ECO:0000250|UniProtKB:Q7Z6G3, ECO:0000269|PubMed:17689978, ECO:0000269|PubMed:26843217}.				NP_596906.1;		10116.ENSRNOP00000020341;	
F1LX07	reviewed	S2512_RAT	Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial (Solute carrier family 25 member 12)	Slc25a12	Rattus norvegicus (Rat)	676		TOPO_DOM 2..328; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"; TOPO_DOM 347..389; /note="Mitochondrial matrix"; /evidence="ECO:0000305"; TOPO_DOM 410..432; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"; TOPO_DOM 447..481; /note="Mitochondrial matrix"; /evidence="ECO:0000305"; TOPO_DOM 502..520; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"; TOPO_DOM 539..577; /note="Mitochondrial matrix"; /evidence="ECO:0000305"; TOPO_DOM 598..676; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"	TRANSMEM 329..346; /note="Helical; Name=1"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 390..409; /note="Helical; Name=2"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 433..446; /note="Helical; Name=3"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 482..501; /note="Helical; Name=4"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 521..538; /note="Helical; Name=5"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 578..597; /note="Helical; Name=6"; /evidence="ECO:0000250|UniProtKB:O75746"	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:4436323, ECO:0000305|PubMed:486467}; Multi-pass membrane protein {ECO:0000255}.						10116.ENSRNOP00000032909;	
F4J0W4	reviewed	MIRO2_ARATH	Mitochondrial Rho GTPase 2 (AtMIRO2) (EC 3.6.5.-) (Calcium-binding GTPase) (AtCBG) (Miro-related GTPase 2)	MIRO2 At3g63150 T20O10.250	Arabidopsis thaliana (Mouse-ear cress)	643	TISSUE SPECIFICITY: Expressed roots, rosette and cauline leaves, stems, flowers and siliques. {ECO:0000269|PubMed:16832621, ECO:0000269|PubMed:18344283}.	TOPO_DOM 1..611; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 633..643; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"	TRANSMEM 612..632; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000305|PubMed:18344283}; Single-pass type IV membrane protein {ECO:0000305}.				NP_567139.1;		3702.AT3G63150.1;	
F4KAK5	reviewed	PSD2_ARATH	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]	PSD2 At5g57190 MUL3.14	Arabidopsis thaliana (Mouse-ear cress)	635	TISSUE SPECIFICITY: Highly expressed in flowers and at lower levels in leaves. {ECO:0000269|PubMed:17449644}.			SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000305|PubMed:17449644}; Peripheral membrane protein {ECO:0000305|PubMed:17449644}. Note=Tonoplast.				NP_200529.4;		3702.AT5G57190.1;	
G3V7W1	reviewed	PDCD6_RAT	Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)	Pdcd6 Alg2	Rattus norvegicus (Rat)	191				SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:27276012}; Peripheral membrane protein {ECO:0000250|UniProtKB:O75340}. Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000250|UniProtKB:O75340}. Cytoplasm {ECO:0000250|UniProtKB:O75340}. Nucleus {ECO:0000250|UniProtKB:O75340}. Endosome {ECO:0000250|UniProtKB:O75340}. Note=Interaction with RBM22 induces relocalization from the cytoplasm to the nucleus (By similarity). Translocated from the cytoplasm to the nucleus after heat shock cell treatment (By similarity). Accumulates in cytoplasmic vesicle-like organelles after heat shock treatment, which may represent stress granules (By similarity). In response to calcium increase, relocates from cytoplasm to COPII vesicle coat (By similarity). Localizes to endoplasmic reticulum exit site (ERES) (PubMed:27276012). {ECO:0000250|UniProtKB:O75340, ECO:0000269|PubMed:27276012}.				NP_001100922.1 [G3V7W1-1];XP_006227846.1 [G3V7W1-2];		10116.ENSRNOP00000019735;	
G5EBX9	reviewed	PPE_CAEEL	Serine/threonine-protein phosphatase with EF-hands pef-1 (CePPEF) (EC 3.1.3.16) (Phosphatase with EF hands 1)	pef-1 F23H11.8	Caenorhabditis elegans	707	TISSUE SPECIFICITY: Expression is restricted to neurons. Expressed in AWB, AWC, AVA, AVB, AVX, BAG and URX neurons and in one tail neuron (at protein level). {ECO:0000269|PubMed:11312268}.			SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11312268}; Lipid-anchor {ECO:0000269|PubMed:11312268}. Perikaryon {ECO:0000269|PubMed:11312268}. Cell projection, dendrite {ECO:0000269|PubMed:11312268}. Cell projection, axon {ECO:0000269|PubMed:11312268}. Cell projection, cilium {ECO:0000269|PubMed:11312268}.				NP_001022545.1;NP_001254836.1 [G5EBX9-3];NP_741091.1 [G5EBX9-1];		6239.F23H11.8a;	
G5EDN6	reviewed	CANB_CAEEL	Protein phosphatase 2B regulatory subunit cnb-1 (Calcineurin subunit B)	cnb-1 F55C10.1	Caenorhabditis elegans	171	TISSUE SPECIFICITY: Expressed in sperm, spermatids, spermatheca, male gonads, intestine, nerve cord, hypodermal seam cells, cuticle and excretory canal. {ECO:0000269|PubMed:12221132}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12221132}.				NP_001256318.1;		6239.F55C10.1a;	
O08529	reviewed	CAN2_MOUSE	Calpain-2 catalytic subunit (EC 3.4.22.53) (80 kDa M-calpain subunit) (CALP80) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	Capn2	Mus musculus (Mouse)	700	TISSUE SPECIFICITY: Ubiquitous.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Translocates to the plasma membrane upon Ca(2+) binding. {ECO:0000250}.				NP_033924.2;	198471;	10090.ENSMUSP00000068895;	
O08795	reviewed	GLU2B_MOUSE	Glucosidase 2 subunit beta (80K-H protein) (Glucosidase II subunit beta) (Protein kinase C substrate 60.1 kDa protein heavy chain) (PKCSH)	Prkcsh	Mus musculus (Mouse)	521	TISSUE SPECIFICITY: Expressed in kidney (at protein level). {ECO:0000269|PubMed:21685914}.			SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000255|PROSITE-ProRule:PRU10138}.	HELIX 48..50; /evidence="ECO:0007829|PDB:5F0E"; HELIX 89..91; /evidence="ECO:0007829|PDB:5F0E"		STRAND 36..38; /evidence="ECO:0007829|PDB:7K9T"; STRAND 45..47; /evidence="ECO:0007829|PDB:7K9T"; STRAND 53..55; /evidence="ECO:0007829|PDB:5F0E"; STRAND 74..77; /evidence="ECO:0007829|PDB:5F0E"; STRAND 85..88; /evidence="ECO:0007829|PDB:5F0E"; STRAND 94..96; /evidence="ECO:0007829|PDB:5F0E"; STRAND 106..109; /evidence="ECO:0007829|PDB:5F0E"	NP_001280579.1 [O08795-2];NP_001280580.1 [O08795-1];NP_032951.1 [O08795-1];XP_006510158.1 [O08795-2];XP_006510159.1 [O08795-2];	202370;	10090.ENSMUSP00000110987;	
O14815	reviewed	CAN9_HUMAN	Calpain-9 (EC 3.4.22.-) (Digestive tract-specific calpain) (New calpain 4) (nCL-4) (Protein CG36)	CAPN9 NCL4	Homo sapiens (Human)	690	TISSUE SPECIFICITY: Expressed predominantly in stomach.				HELIX 29..38; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 52..54; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 70..72; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 86..88; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 98..107; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 110..116; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 169..181; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 185..187; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 192..200; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 209..211; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 216..226; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 239..241; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 294..298; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 301..306; /evidence="ECO:0007829|PDB:1ZIV"; HELIX 321..327; /evidence="ECO:0007829|PDB:1ZIV"		STRAND 46..48; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 57..59; /evidence="ECO:0007829|PDB:2P0R"; STRAND 66..68; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 74..76; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 78..80; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 93..95; /evidence="ECO:0007829|PDB:2P0R"; STRAND 129..136; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 138..147; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 150..161; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 188..190; /evidence="ECO:0007829|PDB:2P0R"; STRAND 205..208; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 229..233; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 256..266; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 269..277; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 313..320; /evidence="ECO:0007829|PDB:1ZIV"; STRAND 330..334; /evidence="ECO:0007829|PDB:1ZIV"	NP_001306605.1;NP_006606.1 [O14815-1];NP_057536.1 [O14815-2];	115976;	9606.ENSP00000271971;	
O14829	reviewed	PPE1_HUMAN	Serine/threonine-protein phosphatase with EF-hands 1 (PPEF-1) (EC 3.1.3.16) (Protein phosphatase with EF calcium-binding domain) (PPEF) (Serine/threonine-protein phosphatase 7) (PP7)	PPEF1 PPEF PPP7C	Homo sapiens (Human)	653	TISSUE SPECIFICITY: Detected in retina and retinal derived Y-79 retinoblastoma cells. Also found in fetal brain.							NP_006231.2 [O14829-1];NP_689410.1 [O14829-3];NP_689412.1 [O14829-5];XP_005274610.1;	111471;	9606.ENSP00000354871;	
O14830	reviewed	PPE2_HUMAN	Serine/threonine-protein phosphatase with EF-hands 2 (PPEF-2) (EC 3.1.3.16)	PPEF2	Homo sapiens (Human)	753	TISSUE SPECIFICITY: Retinal specific.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Cell projection, cilium, photoreceptor outer segment. Photoreceptor inner segment. Note=Localized to photoreceptors, PPEF-2(L) is at least 2 fold more abundant in rod inner segments than in the outer segments.				NP_006230.2 [O14830-1];XP_011530341.1 [O14830-1];	111466;	9606.ENSP00000286719;	
O14950	reviewed	ML12B_HUMAN	Myosin regulatory light chain 12B (MLC-2A) (MLC-2) (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2) (SHUJUN-1)	MYL12B MRLC2 MYLC2B	Homo sapiens (Human)	172	TISSUE SPECIFICITY: Ubiquitously expressed in various hematopoietic cells. {ECO:0000269|PubMed:11436981, ECO:0000269|PubMed:18480596}.							NP_001138416.1;NP_001138417.1;NP_001289978.1;NP_291024.1;	125182;	9606.ENSP00000463559;	
