Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Beta strand	Helix	Turn	RefSeq	BioGRID	STRING	Tissue specificity
A2ASZ8	reviewed	SCMC2_MOUSE	Calcium-binding mitochondrial carrier protein SCaMC-2 (Small calcium-binding mitochondrial carrier protein 2) (Solute carrier family 25 member 25)	Slc25a25 Kiaa1896 Scamc2	Mus musculus (Mouse)	469		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	TOPO_DOM 1..189; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"; TOPO_DOM 208..244; /note="Mitochondrial matrix"; /evidence="ECO:0000255"; TOPO_DOM 265..287; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"; TOPO_DOM 302..337; /note="Mitochondrial matrix"; /evidence="ECO:0000255"; TOPO_DOM 358..380; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"; TOPO_DOM 399..437; /note="Mitochondrial matrix"; /evidence="ECO:0000255"; TOPO_DOM 458..469; /note="Mitochondrial intermembrane"; /evidence="ECO:0000255"	TRANSMEM 190..207; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 245..264; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 288..301; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 338..357; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 381..398; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 438..457; /note="Helical; Name=6"; /evidence="ECO:0000255"				NP_001157829.1 [A2ASZ8-2];NP_001157830.1 [A2ASZ8-5];NP_001277487.1 [A2ASZ8-1];NP_666230.2 [A2ASZ8-3];XP_006498017.1;	230676;	10090.ENSMUSP00000028160;	
A2VEI2	reviewed	MICU1_DROME	Calcium uptake protein 1 homolog, mitochondrial (Mitochondrial calcium uptake 1)	MICU1 CG4495	Drosophila melanogaster (Fruit fly)	525		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9BPX6}; Single-pass membrane protein {ECO:0000255}. Mitochondrion intermembrane space {ECO:0000250|UniProtKB:Q9BPX6}. Note=The topology is subject to debate. {ECO:0000250|UniProtKB:Q9BPX6}.	TOPO_DOM 98..525; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"	TRANSMEM 77..97; /note="Helical"; /evidence="ECO:0000255"				NP_001097110.1 [A2VEI2-1];NP_609100.1 [A2VEI2-2];	60145;	7227.FBpp0111941;	
A2ZVI7	reviewed	CDPK1_ORYSJ	Calcium-dependent protein kinase 1 (OsCDPK1) (OsCPK1) (EC 2.7.11.1)	CPK1 Os01g0622600 LOC_Os01g43410 OsJ_02652 P0501G01.10	Oryza sativa subsp. japonica (Rice)	518		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.						XP_015650814.1;		4530.OS01T0622600-01;	TISSUE SPECIFICITY: Expressed in roots and leaf blades. {ECO:0000269|PubMed:15695435}.
A4GNA8	reviewed	PSD3_ARATH	Phosphatidylserine decarboxylase proenzyme 3 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 3 beta chain; Phosphatidylserine decarboxylase 3 alpha chain]	PSD3 At4g25970 F20B18.80	Arabidopsis thaliana (Mouse-ear cress)	635		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:17449644}; Lipid-anchor {ECO:0000305}.						NP_567736.3;		3702.AT4G25970.1;	TISSUE SPECIFICITY: Expressed in roots, leaves, stems and flowers. {ECO:0000269|PubMed:17449644}.
A5A7I8	reviewed	CDPK5_SOLTU	Calcium-dependent protein kinase 5 (CDPK 5) (StCDPK5) (EC 2.7.11.1)	CPK5 CDPK5	Solanum tuberosum (Potato)	535		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:17400895}; Lipid-anchor {ECO:0000305|PubMed:17400895}.						NP_001274790.1;XP_006364343.1;XP_006364344.1;XP_006364345.1;XP_006364346.1;XP_006364347.1;			
B1A8Z2	reviewed	CIB1_SHEEP	Calcium and integrin-binding protein 1 (Calmyrin)	CIB1	Ovis aries (Sheep)	191		SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q99828}; Lipid-anchor {ECO:0000250|UniProtKB:Q99828}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:Q99828}. Cell membrane {ECO:0000250|UniProtKB:Q99828}. Apical cell membrane {ECO:0000250|UniProtKB:Q99828}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q99828}. Cell projection, filopodium tip {ECO:0000250|UniProtKB:Q99828}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q99828}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q99828}. Cytoplasm {ECO:0000250|UniProtKB:Q99828}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q99828}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q99828}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q99828}. Nucleus {ECO:0000250|UniProtKB:Q99828}. Cell projection, neuron projection {ECO:0000250|UniProtKB:Q99828}. Perikaryon {ECO:0000250|UniProtKB:Q99828}. Note=Colocalized with PPP3R1 at the cell membrane of cardiomyocytes in the hypertrophic heart (By similarity). Colocalized with NBR1 to the perinuclear region. Colocalizes with TAS1R2 in apical regions of taste receptor cells. Colocalized with RAC3 in the perinuclear area and at the cell periphery. Colocalized with PAK1 within membrane ruffles during cell spreading upon readhesion to fibronectin. Redistributed to the cytoskeleton upon platelet aggregation. Translocates from the cytosol to the plasma membrane in a calcium-dependent manner. Colocalized with PLK3 at centrosomes in ductal breast carcinoma cells. {ECO:0000250}.						NP_001108237.1;		9940.ENSOARP00000013003;	TISSUE SPECIFICITY: Expressed strongly in testis. Expressed weakly in liver, kidney and spleen. {ECO:0000269|PubMed:18989754}.
B3LF48	reviewed	EHD2_ARATH	EH domain-containing protein 2 (AtEHD2) (EC 3.6.5.2)	EHD2 At4g05520 T1J24.10	Arabidopsis thaliana (Mouse-ear cress)	546		SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250|UniProtKB:Q641Z6}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q641Z6}. Cell membrane {ECO:0000269|PubMed:18547399, ECO:0000269|PubMed:19936242}; Peripheral membrane protein {ECO:0000269|PubMed:18547399, ECO:0000269|PubMed:19936242}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9WVK4}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00768, ECO:0000269|PubMed:18547399, ECO:0000269|PubMed:19936242}. Cytoplasm {ECO:0000269|PubMed:18547399}.						NP_567299.2 [B3LF48-1];NP_974517.1 [B3LF48-2];		3702.AT4G05520.1;	
B7G620	reviewed	IDH1_PHATC	Isocitrate dehydrogenase [NAD(+)] 1, mitochondrial (PtIDH1) (EC 1.1.1.41)	IDH1 PHATRDRAFT_14762	Phaeodactylum tricornutum (strain CCAP 1055/1)	548		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255, ECO:0000305|PubMed:32824636}.						XP_002182499.1;		556484.B7G620;	
D3Z2R5	reviewed	SELN_MOUSE	Selenoprotein N (SelN)	Selenon Seln Sepn1	Mus musculus (Mouse)	557		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NZV5}.						NP_083376.2;		10090.ENSMUSP00000060026;	
D3ZHV2	reviewed	MACF1_RAT	Microtubule-actin cross-linking factor 1 (Actin cross-linking family 7)	Macf1 Acf7 Aclp7 Macf	Rattus norvegicus (Rat)	5430		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9UPN3}. Cytoplasm {ECO:0000250|UniProtKB:Q9UPN3}. Golgi apparatus {ECO:0000250|UniProtKB:Q9UPN3}. Cell membrane {ECO:0000250|UniProtKB:Q9UPN3}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q9UPN3}. Membrane {ECO:0000269|PubMed:16815997}. Note=The phosphorylated form is found in the cytoplasm while the non-phosphorylated form associates with the microtubules (By similarity). Localizes to the tips of microtubules. Associated with the minus-end of microtubules via interaction with CAMSAP3. APC controls its localization to the cell membrane which is critical for its function in microtubule stabilization (By similarity). {ECO:0000250|UniProtKB:Q9QXZ0, ECO:0000250|UniProtKB:Q9UPN3}.						XP_017448990.1;		10116.ENSRNOP00000041065;	
F1LQY6	reviewed	NECA2_RAT	N-terminal EF-hand calcium-binding protein 2 (EF-hand calcium-binding protein 2) (Neuronal calcium-binding protein 2)	Necab2 Efcbp2	Rattus norvegicus (Rat)	389		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17689978}. Cell projection, dendrite {ECO:0000269|PubMed:17689978}. Cell projection, axon {ECO:0000269|PubMed:17689978}. Cell membrane {ECO:0000250|UniProtKB:Q7Z6G3}. Note=Colocalizes with ADORA2A and/or mGluR5/GRM5 at the plasma membrane (By similarity). Found in neuronal somata (PubMed:26843217). Detected in the cytoplasm of striatal neurons, at postsynaptic sites, filling dendritic shafts and spines, and at presynaptic sites, filling axon terminals (PubMed:17689978). {ECO:0000250|UniProtKB:Q7Z6G3, ECO:0000269|PubMed:17689978, ECO:0000269|PubMed:26843217}.						NP_596906.1;		10116.ENSRNOP00000020341;	TISSUE SPECIFICITY: Expressed in the striatum; predominantly in the caudate putamen. Expressed in hippocampus; particularly strong in the CA1 area. Expressed in the spinal dorsal horn with especially strong expression in lamina IIi; found in excitory synaptic boutons (at protein level). {ECO:0000269|PubMed:17689978, ECO:0000269|PubMed:19694902, ECO:0000269|PubMed:26843217}.
F1LX07	reviewed	S2512_RAT	Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial (Solute carrier family 25 member 12)	Slc25a12	Rattus norvegicus (Rat)	676		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:4436323, ECO:0000305|PubMed:486467}; Multi-pass membrane protein {ECO:0000255}.	TOPO_DOM 2..328; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"; TOPO_DOM 347..389; /note="Mitochondrial matrix"; /evidence="ECO:0000305"; TOPO_DOM 410..432; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"; TOPO_DOM 447..481; /note="Mitochondrial matrix"; /evidence="ECO:0000305"; TOPO_DOM 502..520; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"; TOPO_DOM 539..577; /note="Mitochondrial matrix"; /evidence="ECO:0000305"; TOPO_DOM 598..676; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"	TRANSMEM 329..346; /note="Helical; Name=1"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 390..409; /note="Helical; Name=2"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 433..446; /note="Helical; Name=3"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 482..501; /note="Helical; Name=4"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 521..538; /note="Helical; Name=5"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 578..597; /note="Helical; Name=6"; /evidence="ECO:0000250|UniProtKB:O75746"						10116.ENSRNOP00000032909;	
F1LZW6	reviewed	S2513_RAT	Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial (Solute carrier family 25 member 13)	Slc25a13	Rattus norvegicus (Rat)	676		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:4436323, ECO:0000305|PubMed:486467}; Multi-pass membrane protein {ECO:0000255}.	TOPO_DOM 2..332; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"; TOPO_DOM 351..393; /note="Mitochondrial matrix"; /evidence="ECO:0000305"; TOPO_DOM 414..436; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"; TOPO_DOM 451..485; /note="Mitochondrial matrix"; /evidence="ECO:0000305"; TOPO_DOM 506..524; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"; TOPO_DOM 543..581; /note="Mitochondrial matrix"; /evidence="ECO:0000305"; TOPO_DOM 602..676; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"	TRANSMEM 333..350; /note="Helical; Name=1"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 394..413; /note="Helical; Name=2"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 437..450; /note="Helical; Name=3"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 486..505; /note="Helical; Name=4"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 525..542; /note="Helical; Name=5"; /evidence="ECO:0000250|UniProtKB:O75746"; TRANSMEM 582..601; /note="Helical; Name=6"; /evidence="ECO:0000250|UniProtKB:O75746"				XP_001054092.3;XP_008760961.1;		10116.ENSRNOP00000013816;	
F4IS91	reviewed	RSA1_ARATH	Protein SHORT ROOT IN SALT MEDIUM 1 (AtRSA1) (Protein EMBRYO DEFECTIVE 1579)	RSA1 emb1579 At2g03150 T18E12.18	Arabidopsis thaliana (Mouse-ear cress)	1340		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24009530}.						NP_178414.2 [F4IS91-1];		3702.AT2G03150.1;	TISSUE SPECIFICITY: Expressed ubiquitously at high levels, including in guard cells. {ECO:0000269|PubMed:24009530}.
